"name","lat","lon","radius_m","supermarkets","aeon_drugstores","HHI_pre","HHI_post","dHHI","share_aeon","share_tsuruha","party_share","exceeds_safeharbor","tier"
"ツルハドラッグ 日光鬼怒川店",36.813393999999995,139.711656,2000,5,0,1504,1504,0,0,3.4,3.4,FALSE,"セーフハーバー内"
"ツルハドラッグ 大田原薄葉店",36.8310688,139.9754905,2000,2,0,2158,2158,0,0,6.2,6.2,FALSE,"セーフハーバー内"
"杏林堂",36.8607775,140.1148288,2000,2,0,1865,1865,0,0,5.7,5.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 那須塩原島方店",36.936402699999995,140.0128154,2000,2,0,1000,1000,0,0,7.7,7.7,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 那須塩原島方店",36.936365699999996,140.0128264,2000,2,0,1000,1000,0,0,7.7,7.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 黒磯豊浦北町店",36.9779096,140.04094899999998,2000,12,3,415,423,7,3.3,1.1,4.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 那須高原店",37.0440347,140.0164651,2000,4,0,2107,2107,0,0,4.5,4.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 白河白坂店",37.100546099999995,140.1965959,2000,5,0,1100,1100,0,0,5.7,5.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 白河西店",37.129055099999995,140.19217079999999,2000,13,2,433,466,32,7.5,2.2,9.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 西郷店",37.1394342,140.152691,2000,0,0,1276,1582,306,10.7,14.3,25,TRUE,"セーフハーバー超過(スーパー有=競争維持余地)"
"ツルハドラッグ 白河結城店",37.1194817,140.2284076,2000,7,0,627,632,5,1.3,1.8,3.1,FALSE,"セーフハーバー内"
"ツルハドラッグ 白河モール店",37.115321099999996,140.2002497,2000,9,0,465,465,0,0,4,4,FALSE,"セーフハーバー内"
"ツルハドラッグ 亀有店",35.759412499999996,139.8435728,2000,9,2,807,820,14,3.7,1.9,5.6,FALSE,"セーフハーバー内"
"くすりの福太郎松戸小山店",35.773854799999995,139.8918368,2000,5,2,1150,1184,34,5.8,2.9,8.8,FALSE,"セーフハーバー内"
"くすりの福太郎宮久保店",35.7370557,139.93049449999998,2000,4,2,1595,1933,339,24.3,7,31.3,TRUE,"セーフハーバー超過(スーパー有=競争維持余地)"
"くすりの福太郎市川国分店",35.739653,139.9180298,2000,3,1,1528,1600,72,4.3,8.5,12.8,FALSE,"セーフハーバー内"
"くすりの福太郎鎌ケ谷店",35.7622363,140.0001203,2000,9,2,907,1101,193,19.7,4.9,24.6,FALSE,"セーフハーバー内"
"くすりの福太郎西白井店",35.7982344,140.0307439,2000,2,1,1549,1815,266,28.2,4.7,32.9,TRUE,"セーフハーバー超過(スーパー有=競争維持余地)"
"くすりの福太郎東鎌ケ谷店",35.7635947,140.0157592,2000,10,3,1146,1379,233,27,4.3,31.3,FALSE,"セーフハーバー内"
"くすりの福太郎初富本町店",35.774318,140.000174,2000,6,2,1485,1898,413,28.7,7.2,35.9,TRUE,"セーフハーバー超過(スーパー有=競争維持余地)"
"くすりの福太郎白井駅前店",35.7825506,140.054332,2000,7,1,671,755,84,11.9,3.5,15.4,FALSE,"セーフハーバー内"
"くすりの福太郎印西内野店",35.797295999999996,140.12781809999998,2000,10,2,830,1052,222,22.2,5,27.2,FALSE,"セーフハーバー内"
"調剤薬局くすりの福太郎 豊富店",35.7634773,140.0736987,2000,2,0,1841,1890,49,4.3,5.7,10,FALSE,"セーフハーバー内"
"調剤薬局くすりの福太郎 印西内野店",35.797285099999996,140.1278085,2000,10,2,830,1052,222,22.2,5,27.2,FALSE,"セーフハーバー内"
"くすりの福太郎酒々井店",35.732332,140.276129,2000,5,0,1436,1436,0,0,3.3,3.3,FALSE,"セーフハーバー内"
"調剤薬局くすりの福太郎 成田はなのき台店",35.778676000000004,140.28562,2000,4,1,1237,1377,140,28.7,2.4,31.1,FALSE,"セーフハーバー内"
"ツルハドラッグ 草加5丁目店",35.837382999999996,139.802899,2000,6,5,1004,1060,55,11.8,2.4,14.1,FALSE,"セーフハーバー内"
"くすりの福太郎逆井店",35.8237009,139.9843915,2000,4,2,1365,1431,67,9.6,3.5,13,FALSE,"セーフハーバー内"
"調剤薬局くすりの福太郎 白井駅前店",35.782523399999995,140.05434979999998,2000,7,1,671,755,84,11.9,3.5,15.4,FALSE,"セーフハーバー内"
"くすりの福太郎千葉ニュータウン店",35.80197,140.11556199999998,2000,9,4,1028,1309,281,26.3,5.3,31.7,FALSE,"セーフハーバー内"
"薬局くすりの福太郎ニュータウンメディカルモール店",35.8020176,140.115852,2000,9,4,1028,1309,281,26.3,5.3,31.7,FALSE,"セーフハーバー内"
"くすりの福太郎フォレストモール印西牧の原店",35.80658,140.178586,2000,7,0,1121,1401,280,22.4,6.3,28.6,FALSE,"セーフハーバー内"
"調剤薬局くすりの福太郎 本埜店",35.8067997,140.1799079,2000,6,0,910,1072,162,11.6,7,18.6,FALSE,"セーフハーバー内"
"調剤薬局くすりの福太郎 フォレストモール印西牧の原店",35.8067024,140.1784666,2000,7,0,1121,1401,280,22.4,6.3,28.6,FALSE,"セーフハーバー内"
"くすりの福太郎天王台北口店",35.8728931,140.0399736,2000,7,1,1597,1732,135,33.7,2,35.7,FALSE,"セーフハーバー内"
"くすりの福太郎野田山崎店",35.9259919,139.89227499999998,2000,4,0,1121,1238,117,21.6,2.7,24.3,FALSE,"セーフハーバー内"
"くすりの福太郎柏の葉店",35.887338,139.94699119999999,2000,10,1,547,570,23,8.4,1.4,9.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 江戸崎店",35.9588536,140.31605589999998,2000,5,0,1166,1254,88,14.8,3,17.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 水海道店",36.021203199999995,139.9904288,2000,11,2,546,594,48,9.2,2.6,11.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 水海道栄町店",36.018657499999996,139.9886895,2000,11,2,546,594,48,9.2,2.6,11.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 富士見ヶ丘店",36.0026003,140.0331467,2000,5,1,1611,1783,172,30.8,2.8,33.6,FALSE,"セーフハーバー内"
"ツルハドラッグ ひたち野うしく店",36.0067835,140.16418679999998,2000,4,0,1679,1857,178,24.1,3.7,27.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 荒川本郷店",36.0225617,140.17739029999998,2000,7,2,951,1015,64,15,2.1,17.1,FALSE,"セーフハーバー内"
"ツルハドラッグ イーアスつくば店",36.0865779,140.08478119999998,2000,11,6,751,798,47,20.3,1.2,21.4,FALSE,"セーフハーバー内"
"ツルハドラッグ 土浦小松店",36.072412299999996,140.2041721,2000,9,3,787,844,57,19.2,1.5,20.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 千代田店",36.1349131,140.24109149999998,2000,11,2,847,901,54,22.4,1.2,23.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 石岡店",36.1885221,140.2749282,2000,7,2,603,641,38,11.6,1.7,13.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 茨城小川店",36.192563899999996,140.3814657,2000,6,0,1504,1504,0,0,3.1,3.1,FALSE,"セーフハーバー内"
"ツルハドラッグ 羽鳥店",36.249011599999996,140.302367,2000,2,3,1257,1368,111,12.9,4.3,17.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 友部店",36.3270644,140.3239092,2000,4,2,927,1014,87,18.3,2.4,20.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 茨城桜の郷店",36.3266,140.41436299999998,2000,1,0,1403,1403,0,0,6.3,6.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 水戸南店",36.3098342,140.4398525,2000,6,0,1129,1232,103,22.7,2.3,25,FALSE,"セーフハーバー内"
"ツルハドラッグ 水戸元吉田南店",36.341752,140.4679742,2000,10,4,557,618,61,11.7,2.6,14.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 水戸東前店",36.338786999999996,140.529705,2000,3,0,1787,1787,0,0,4.7,4.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 水戸千波店",36.3557662,140.45277439999998,2000,8,3,831,888,57,16.5,1.7,18.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 上水戸店",36.3895524,140.44700580000003,2000,14,4,739,864,125,21,3,24,FALSE,"セーフハーバー内"
"ツルハドラッグ 水戸見川店",36.3753646,140.43713649999998,2000,13,5,946,1111,165,24.7,3.3,28.1,FALSE,"セーフハーバー内"
