"name","lat","lon","A_in_2km","competitor_groups_2km","comp_stores_2km","is_competing_shoken","is_concern","category"
"調剤薬局くすりの福太郎 川間店",35.9796476,139.8335898,2,10,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎葛飾鎌倉店",35.743953,139.881894,0,3,5,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"くすりの福太郎大谷田店",35.7795438,139.84515140000002,8,11,21,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎三郷中央店",35.8244733,139.8783027,0,7,9,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"くすりの福太郎八潮駅前店",35.807176,139.844778,2,15,17,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局くすりの福太郎 三郷中央店",35.824346999999996,139.87882399999998,0,7,9,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"調剤薬局くすりの福太郎 吉川駅前店",35.87678150000001,139.8428987,3,9,15,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎宮久保4丁目店",35.7414961,139.937959,3,3,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎市川大野駅前店",35.7539827,139.9516907,2,5,6,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局くすりの福太郎 東松戸店",35.7706333,139.9461241,1,6,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局くすりの福太郎 柏旭町店",35.862716,139.96957899999998,4,10,19,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎東鎌ケ谷店",35.7635947,140.0157592,5,10,15,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎東道野辺店",35.7488536,139.9996857,0,6,8,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"くすりの福太郎アクロスモール新鎌ケ谷店",35.7809725,140.00131489999998,3,8,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局くすりの福太郎 三咲店",35.751298,140.028382,3,5,6,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局くすりの福太郎 新鎌ケ谷南口店",35.777777,139.9975366,3,7,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局くすりの福太郎 新鎌ケ谷北口店",35.7806822,139.9991914,3,7,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎西白井店",35.7982344,140.0307439,1,2,3,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 富士見ヶ丘店",36.0026003,140.0331467,1,6,6,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎白井駅前店",35.7825506,140.054332,1,5,5,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ダイソー くすりの福太郎白井店",35.7838561,140.04714550000003,1,5,7,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局くすりの福太郎 豊富店",35.7634773,140.0736987,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"調剤薬局くすりの福太郎 天王台店",35.8717105,140.0437087,1,5,7,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎印西内野店",35.797295999999996,140.12781809999998,5,10,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎千葉ニュータウン店",35.80197,140.11556199999998,5,8,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局くすりの福太郎 筑波学園店",36.0394187,140.09781189999998,1,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎フォレストモール印西牧の原店",35.80658,140.178586,0,8,8,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"調剤薬局くすりの福太郎 本埜店",35.8067997,140.1799079,0,8,8,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"調剤薬局くすりの福太郎 フォレストモール印西牧の原店",35.8067024,140.1784666,0,8,8,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 荒川本郷店",36.0225617,140.17739029999998,2,12,13,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 土浦小松店",36.072412299999996,140.2041721,3,15,17,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"調剤薬局くすりの福太郎 成田はなのき台店",35.778676000000004,140.28562,3,7,13,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 千代田店",36.1349131,140.24109149999998,1,12,13,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 石岡店",36.1885221,140.2749282,1,6,6,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 江戸崎店",35.9588536,140.31605589999998,0,5,5,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 羽鳥店",36.249011599999996,140.302367,2,1,1,TRUE,TRUE,"懸念:複占化(結合後の競争者1)"
"ツルハドラッグ 友部店",36.3270644,140.3239092,2,10,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 御前山店",36.5488493,140.331918,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 茨城小川店",36.192563899999996,140.3814657,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 水戸南店",36.3098342,140.4398525,2,3,3,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 矢祭店",36.866392,140.425767,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 那珂竹ノ内店",36.452027,140.501396,2,9,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 東海中央店",36.4580572,140.56582799999998,5,5,5,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 日立桜川店",36.5599086,140.6276842,0,13,13,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 日立十王店",36.6816154,140.6830646,0,3,3,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 高萩手綱店",36.727513099999996,140.7137706,0,4,4,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ いわき錦店",36.9058688,140.78916429999998,1,8,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"杏林堂ドラッグストア 新所原駅南店",34.7207813,137.4849032,3,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
